product name,price,discount,reviews
Fashion Men's Shoes Loafers Classic Men's Casual Shoes Beef Tendon Sole Canvas Loafers Slip-On Shoes,KSh 759 - KSh 859,38%,3.4 out of 5(40)
Persil Persil Washing Detergent - Regular - 1Kg,KSh 429,,4.7 out of 5(50)
Kemei Flat Iron Hair Straightener Professional,KSh 830,45%,4.2 out of 5(598)
Maybelline Fit Me Mattifying Primer Matte And Poreless,"KSh 1,120",20%,4.6 out of 5(262)
Ramtons RM/591- 3LT Cordless Kettle,"KSh 2,600",7%,4.4 out of 5(148)
Sacha Buttercup Setting Powder,KSh 268,51%,4.4 out of 5(27)
Kojic Acid Soap Kojie San Skin Lightening Soap,KSh 370,47%,4 out of 5(24)
Langman 9 Colors Makeup Eyeshadow Palette Eye Shadow Glitter,KSh 359,40%,4.4 out of 5(674)
"Vitron 3200S,32"" Inch Smart Android TV,Netflix,Youtube, Appstore+FREE AERIAL+BRACKET","KSh 14,699",27%,4.2 out of 5(114)
"Vitron 4388FS/43""Inch Frameless Smart Android TVYoutubeNetflix/1GBAM/8GB ROM","KSh 22,699",35%,4.3 out of 5(150)
Nunix 6L ELECTRIC CHIPS DEEP FRYER,"KSh 4,447",20%,4.1 out of 5(36)
Fashion 2022 Mens Casual Classic Shoes Running Sneakers - White,"KSh 1,699",42%,4.2 out of 5(108)
Fashion 3 Pieces Of Adjustable Baseball Cap - Multicolour+free Gift,KSh 649,27%,4.1 out of 5(726)
Fashion 2022 Mens Casual Classic Shoes Running Sneakers-White/Black,"KSh 1,649",46%,4.2 out of 5(109)
Qwen Wireless Bluetooth Earbuds LED Display Headphones,KSh 680,3%,4.2 out of 5(36)
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,"KSh 1,380",40%,4.5 out of 5(711)
Fashion Pendant Necklaces Choker Chain Tiny Bird Jewelry,KSh 100,,4.1 out of 5(373)
"Fashion Sexiest Mock Neck Ribbed Bodycon Dress (Hips 36-44"" Fit)",KSh 499,22%,4 out of 5(489)
Qwen USB Flash Drive  Flash Disk-32GB  Silver,KSh 529,47%,4.3 out of 5(277)
Fashion Mens Leather Shoes Men's Official Leather Shoes Mens Leather Shoes Black,"KSh 1,099",39%,3.7 out of 5(254)
Generic 5*6- Metallic Stands Mosquito Net,"KSh 1,330",,4.2 out of 5(103)
Garnier Micellar Cleansing Jelly Water With Charcoal,KSh 671,25%,4.5 out of 5(20)
Amaize Amaize Premium Maize Meal - 2Kg,KSh 239,4%,4.6 out of 5(115)
Waanzilish Mens Sneakers Shoes Sports Shoes Breathable Running Shoes -White,KSh 950,37%,3.7 out of 5(39)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","KSh 1,140",40%,4.7 out of 5(95)
Fashion 4 In 1 Ladies Backpack Women's Bags School Bag Colorblock Canvas Crossbody Bag With Fur Ball Pendant,KSh 799,47%,3.3 out of 5(42)
Generic Digital Electronc Kitchen Weighing Scale,KSh 599,45%,4 out of 5(64)
Fashion Men Loafers Shoes Casual Pu Leather Shoes Sneaker Shoes Black,KSh 580,42%,3.9 out of 5(125)
Generic False Eyelashes Set 5 Pairs Styles 3D Mixed,KSh 279,44%,4.4 out of 5(857)
Ceriotti Super GEK 3000 Blow Dry Hair Dryer - Black,"KSh 1,890",10%,4 out of 5(193)
Fashion Men Fabric Adjustable Canvas Belt -Tactical Belts,KSh 299,40%,3.8 out of 5(20)
Maybelline Sky High Lash Sensational Mascara - Black,"KSh 1,725",25%,4.6 out of 5(72)
TC Portable Wardrobe 3 Column - Grey,"KSh 2,699",33%,4 out of 5(160)
Phelistar Outdoor Digital TV Aerial Antenna + 3 FREE GIFTS,KSh 699,18%,4.2 out of 5(55)
TC High Quality 36pair Shoerack,"KSh 2,298",43%,4.3 out of 5(126)
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox,"KSh 28,499",21%,3.7 out of 5(15)
Rina Rina Vegetable Oil - 5 Litres,"KSh 1,299",3%,4.7 out of 5(162)
Tisa Nyota Ladies Handbags PU Leather Bucket Bags 3 In 1-Black,"KSh 1,200",40%,3.8 out of 5(53)
Jogoo Jogoo Maize Meal - 2Kg,KSh 229,2%,4.4 out of 5(710)
Generic Bathroom Corner Shelf -Black,KSh 895,40%,4 out of 5(26)
Fashion 2 In 1 Tracksuits Mens Suits Track Suit Sportswear,"KSh 1,531 - KSh 1,890",49%,4 out of 5(120)
Nunix Electric Deep Fryer + CHIPS CUTTER & Socket+ CHIPS SCOOPER,"KSh 6,579",34%,3.9 out of 5(31)
AILYONS Electric Kettle Water Heater & Boiler Jug,KSh 950,21%,4.2 out of 5(77)
Floveme Power Bank 2S  20000mAh Portable Charger,"KSh 1,650",45%,4.2 out of 5(244)
